Species,Species_gbif,Sample Number,Code,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g,Stained,Mounted,mycorrhizal_colonization,coll_location,hair_length_raw,hair_density_raw,hair_factor
Monarda fistulosa,Monarda fistulosa,4,mon_fis_4,yes,yes,yes,yes,yes,yes,0.0048,yes,yes,90,field,37,3,111
Monarda fistulosa,Monarda fistulosa,5,mon_fis_5,yes,yes,yes,yes,yes,yes,0.0035,yes,yes,69,field,76,12,912
Monarda fistulosa,Monarda fistulosa,6,mon_fis_6,yes,yes,yes,yes,yes,yes,0.0238,yes,yes,73,field,11,3,33
Monarda fistulosa,Monarda fistulosa,7,mon_fis_7,yes,yes,yes,yes,yes,yes,0.0131,yes,yes,80,field,46,4,184
Nassella tenuissima,Nassella tenuissima,1,nas_ten_1,yes,yes,yes,yes,yes,yes,0.0082,yes,yes,25,field,0,0,0
Nassella tenuissima,Nassella tenuissima,2,nas_ten_2,yes,yes,yes,yes,yes,yes,0.001,yes,yes,14,field,0,0,0
Nassella tenuissima,Nassella tenuissima,3,nas_ten_3,yes,yes,yes,yes,yes,yes,0.0084,yes,yes,43,field,0,0,0
Nassella tenuissima,Nassella tenuissima,4,nas_ten_4,yes,yes,yes,yes,yes,yes,0.0127,yes,yes,50,field,0,0,0
Nassella tenuissima,Nassella tenuissima,5,nas_ten_5,yes,yes,yes,yes,yes,yes,0.0056,yes,yes,20,field,0,0,0
Nassella tenuissima,Nassella tenuissima,6,nas_ten_6,yes,yes,yes,yes,yes,yes,0.0049,yes,yes,26,field,0,0,0
Nassella tenuissima,Nassella tenuissima,7,nas_ten_7,yes,yes,yes,yes,yes,yes,0.0011,yes,yes,47,field,0,0,0
Onoclea sensibilis,Onoclea sensibilis,1,ono_sen_1,yes,yes,yes,yes,yes,yes,0.0074,yes,yes,65,field,67,6,402
Onoclea sensibilis,Onoclea sensibilis,2,ono_sen_2,yes,yes,yes,yes,yes,yes,0.0061,yes,yes,38,field,125,4,500
Onoclea sensibilis,Onoclea sensibilis,3,ono_sen_3,yes,yes,yes,yes,yes,yes,0.0355,yes,yes,53,field,38,8,304
Onoclea sensibilis,Onoclea sensibilis,4,ono_sen_4,yes,yes,yes,yes,yes,yes,0.0112,yes,yes,43,field,28,4,112
Onoclea sensibilis,Onoclea sensibilis,5,ono_sen_5,yes,yes,yes,yes,yes,yes,0.0133,yes,yes,46,field,88,9,792
